Date, Price 
12-Mar,5
12-Apr,5
12-May,5
12-Jun,7
12-Jul,9
12-Aug,10
12-Sep,12
12-Oct,11
12-Nov,13
12-Dec,14
13-Jan,20
13-Feb,33
13-Mar,93
13-Apr,139
13-May,129
13-Jun,98
13-Jul,98
13-Aug,129
13-Sep,123
13-Oct,198
13-Nov,1112
13-Dec,728
14-Jan,800
14-Feb,565
14-Mar,452
14-Apr,448
14-May,636
14-Jun,640
14-Jul,579
14-Aug,483
14-Sep,387
14-Oct,337
14-Nov,377
14-Dec,317
15-Jan,217
15-Feb,254
15-Mar,244
15-Apr,236
15-May,228
15-Jun,263
15-Jul,285
15-Aug,230
15-Sep,236
15-Oct,313
15-Nov,377
15-Dec,430
16-Jan,367
16-Feb,435
16-Mar,416
16-Apr,450
16-May,532
16-Jun,672
16-Jul,635
16-Aug,573
16-Sep,609
16-Oct,698
16-Nov,742
16-Dec,969
17-Jan,970
17-Feb,1191
17-Mar,965
